CustomerID,Age,Gender,City,Education,AnnualIncome_INR,Tenure_Months,Orders,AverageOrderValue_INR,TotalSpend_INR,Recency_Days,WebsiteVisits,AppUsage,DiscountUsage,SatisfactionScore
CUST0001,58,Male,Delhi,Graduate,50300,44,8,837,6696,14,10,18,6,2.9
CUST0002,48,Male,Hyderabad,Graduate,57500,60,13,1222,15886,40,10,16,7,4.5
CUST0003,34,Male,Chennai,Graduate,54700,45,14,1429,20006,35,10,15,10,3.8
CUST0004,27,Female,Jaipur,Graduate,89600,34,10,2516,25160,52,13,13,9,3.7
CUST0005,40,Female,Delhi,Postgraduate,67600,3,12,1986,23832,13,18,16,5,4.3
CUST0006,58,Female,Chennai,Graduate,71700,37,11,1966,21626,34,12,18,5,3.4
CUST0007,38,Female,Mumbai,Graduate,31400,43,12,2151,25812,12,16,19,6,5.0
CUST0008,42,Male,Pune,Graduate,18000,40,6,1429,8574,44,9,8,6,3.1
CUST0009,30,Male,Kolkata,Postgraduate,93100,26,13,2222,28886,29,14,18,8,4.2
CUST0010,30,Male,Delhi,Graduate,118600,55,21,2055,43155,8,10,24,10,4.8
CUST0011,43,Male,Nagpur,Graduate,56400,23,14,1921,26894,120,13,17,11,2.6
CUST0012,55,Female,Ahmedabad,Graduate,71200,44,13,1458,18954,11,14,16,8,3.4
CUST0013,59,Female,Delhi,Graduate,73100,39,8,400,3200,34,9,20,9,4.6
CUST0014,43,Male,Jaipur,Diploma,106900,15,10,1964,19640,82,9,15,7,4.6
CUST0015,22,Male,Jaipur,Graduate,87200,56,9,2858,25722,27,12,12,5,3.6
CUST0016,41,Male,Delhi,Postgraduate,77400,49,15,2476,37140,61,12,16,7,3.1
CUST0017,21,Male,Kolkata,Postgraduate,66400,4,10,2436,24360,9,13,15,7,4.5
CUST0018,43,Male,Chennai,High School,66500,29,16,2612,41792,24,17,19,8,4.6
CUST0019,49,Female,Mumbai,Graduate,29000,22,11,1642,18062,15,15,16,5,2.8
CUST0020,57,Female,Ahmedabad,Graduate,55400,25,12,1871,22452,27,9,12,6,2.7
CUST0021,21,Female,Mumbai,Graduate,87200,13,17,1532,26044,27,19,14,6,3.9
CUST0022,40,Male,Bengaluru,Graduate,59200,18,9,1560,14040,29,15,11,11,4.2
CUST0023,52,Male,Kolkata,Postgraduate,66100,33,18,2207,39726,49,13,14,7,3.5
CUST0024,31,Male,Jaipur,Graduate,35600,16,13,2406,31278,3,14,19,8,4.2
CUST0025,41,Female,Bengaluru,Graduate,76100,45,15,1776,26640,17,14,17,8,3.1
CUST0026,44,Female,Mumbai,Diploma,28500,42,8,1288,10304,33,10,15,6,2.0
CUST0027,46,Female,Mumbai,Postgraduate,72200,44,22,1844,40568,4,17,19,7,3.4
CUST0028,47,Male,Ahmedabad,Graduate,60300,2,16,2163,34608,43,14,23,10,3.8
CUST0029,35,Female,Hyderabad,Graduate,21400,55,11,600,6600,17,12,16,7,3.5
CUST0030,34,Male,Mumbai,Graduate,91700,35,14,468,6552,24,5,23,10,2.8
CUST0031,22,Female,Chennai,High School,60900,42,8,1418,11344,51,11,12,5,2.2
CUST0032,56,Male,Chennai,Diploma,111500,34,26,1286,33436,63,12,19,4,3.3
CUST0033,26,Male,Delhi,Diploma,102000,30,18,1692,30456,44,8,22,10,4.4
